Data Quality Assurance and Flagging,,,,,
,,,,,
THIS IS FOR ASFS30,,,,,
,,,,,
Instrument / measurement,"date, time start","date, time end",Flag,Reason,Who
ALL_TURBULENCE,20221106 115000,20221106 120000,2,spike ,ccox
ALL_TURBULENCE,20221109 053000,20221109 054000,2,spike ,ccox
ALL_TURBULENCE,20221109 065000,20221109 070000,2,spike ,ccox
ALL_TURBULENCE,20221109 223000,20221109 224000,2,spike ,ccox
ALL_TURBULENCE,20221116 132000,20221116 133000,2,spike ,ccox
ALL_TURBULENCE,20221116 140000,20221116 141000,2,spike ,ccox
ALL_TURBULENCE,20221116 141000,20221116 142000,2,spike ,ccox
ALL_TURBULENCE,20221116 144000,20221116 145000,2,spike ,ccox
ALL_TURBULENCE,20221116 153000,20221116 154000,2,spike ,ccox
ALL_TURBULENCE,20221201 044000,20221201 045000,2,spike ,ccox
ALL_TURBULENCE,20221202 020000,20221202 021000,2,spike ,ccox
ALL_TURBULENCE,20221202 024000,20221202 025000,2,spike ,ccox
ALL_TURBULENCE,20221202 053000,20221202 054000,2,spike ,ccox
ALL_TURBULENCE,20221210 000000,20221210 001000,2,spike ,ccox
ALL_TURBULENCE,20221210 014000,20221210 015000,2,spike ,ccox
ALL_TURBULENCE,20221212 095000,20221212 100000,2,spike ,ccox
ALL_TURBULENCE,20221225 182000,20221225 183000,2,spike ,ccox
ALL_TURBULENCE,20221227 204000,20221227 205000,2,spike ,ccox
ALL_TURBULENCE,20230121 073000,20230121 074000,2,spike ,ccox
ALL_TURBULENCE,20230121 190000,20230121 191000,2,spike ,ccox
ALL_TURBULENCE,20230121 191000,20230121 192000,2,spike ,ccox
ALL_TURBULENCE,20230121 192000,20230121 193000,2,spike ,ccox
ALL_TURBULENCE,20230121 193000,20230121 194000,2,spike ,ccox
ALL_TURBULENCE,20230121 194000,20230121 195000,2,spike ,ccox
ALL_TURBULENCE,20230126 204000,20230126 205000,2,spike ,ccox
ALL_TURBULENCE,20230126 221000,20230126 222000,2,spike ,ccox
ALL_TURBULENCE,20230127 001000,20230127 002000,2,spike ,ccox
ALL_TURBULENCE,20230127 200000,20230127 201000,2,spike ,ccox
ALL_TURBULENCE,20230127 224000,20230127 225000,2,spike ,ccox
ALL_TURBULENCE,20230128 022000,20230128 023000,2,spike ,ccox
ALL_TURBULENCE,20230202 024000,20230202 025000,2,spike ,ccox
ALL_TURBULENCE,20230203 001000,20230203 002000,2,spike ,ccox
ALL_TURBULENCE,20230204 115000,20230204 120000,2,spike ,ccox
ALL_TURBULENCE,20230204 193000,20230204 194000,2,spike ,ccox
ALL_TURBULENCE,20230205 213000,20230205 214000,2,spike ,ccox
ALL_TURBULENCE,20230205 214000,20230205 215000,2,spike ,ccox
ALL_TURBULENCE,20230207 031000,20230207 032000,2,spike ,ccox
ALL_TURBULENCE,20230207 095000,20230207 100000,2,spike ,ccox
ALL_TURBULENCE,20230207 100000,20230207 101000,2,spike ,ccox
ALL_TURBULENCE,20230208 203000,20230208 204000,2,spike ,ccox
ALL_TURBULENCE,20230210 045000,20230210 050000,2,spike ,ccox
ALL_TURBULENCE,20230220 050000,20230220 051000,2,spike ,ccox
ALL_TURBULENCE,20230220 092000,20230220 093000,2,spike ,ccox
ALL_TURBULENCE,20230220 101000,20230220 102000,2,spike ,ccox
